epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,865.532,0.5564,0.44852,0.94147,0.91658,0.92901,0.95073,0.80228,0.66759,0.46794,0.98799,0.00013864,0.00013864,0.00013864
68,878.798,0.55604,0.44165,0.94256,0.94473,0.91813,0.94817,0.7964,0.67179,0.4671,0.98195,0.00013468,0.00013468,0.00013468
69,892.418,0.54299,0.42569,0.93352,0.94464,0.92231,0.95722,0.81026,0.66261,0.4548,0.97527,0.00013072,0.00013072,0.00013072
70,905.302,0.55234,0.44994,0.93619,0.9416,0.91215,0.95602,0.8152,0.64979,0.45491,0.97388,0.00012676,0.00012676,0.00012676
71,917.854,0.54061,0.42793,0.93802,0.94275,0.93078,0.96185,0.80938,0.65873,0.43896,0.97416,0.0001228,0.0001228,0.0001228
72,930.369,0.53795,0.42498,0.93153,0.95003,0.9259,0.96119,0.81026,0.6651,0.44353,0.97979,0.00011884,0.00011884,0.00011884
73,942.711,0.5381,0.41351,0.93268,0.93544,0.92961,0.9561,0.8127,0.66211,0.44846,0.97422,0.00011488,0.00011488,0.00011488
74,954.993,0.53416,0.42029,0.93952,0.93165,0.92786,0.95718,0.81363,0.66051,0.4498,0.98016,0.00011092,0.00011092,0.00011092
75,967.354,0.52825,0.42013,0.93221,0.93133,0.92125,0.95711,0.80868,0.66542,0.45554,0.98344,0.00010696,0.00010696,0.00010696
76,979.796,0.52249,0.415,0.92906,0.94978,0.92186,0.95767,0.80854,0.66515,0.43947,0.98576,0.000103,0.000103,0.000103
77,992.2,0.52063,0.40782,0.92937,0.96349,0.91617,0.95798,0.80676,0.67172,0.43232,0.99167,9.904e-05,9.904e-05,9.904e-05
78,1004.61,0.51554,0.40566,0.92945,0.95927,0.9202,0.95384,0.80486,0.67466,0.45351,0.99096,9.508e-05,9.508e-05,9.508e-05
79,1017.14,0.52718,0.3992,0.92707,0.93279,0.9298,0.95433,0.80456,0.66758,0.45138,0.9815,9.112e-05,9.112e-05,9.112e-05
80,1030.44,0.51532,0.40003,0.92818,0.93694,0.90827,0.94619,0.79787,0.66714,0.47817,0.99048,8.716e-05,8.716e-05,8.716e-05
81,1042.87,0.5248,0.39168,0.93399,0.9324,0.91144,0.94558,0.80017,0.667,0.47563,0.98302,8.32e-05,8.32e-05,8.32e-05
82,1055.35,0.51768,0.40193,0.92543,0.93524,0.92145,0.95264,0.80457,0.66665,0.4588,0.98391,7.924e-05,7.924e-05,7.924e-05
83,1067.88,0.49693,0.38401,0.92401,0.93912,0.9171,0.95288,0.80889,0.66406,0.45713,0.98371,7.528e-05,7.528e-05,7.528e-05
84,1080.39,0.50862,0.39397,0.92413,0.93986,0.91936,0.94928,0.80561,0.66679,0.46243,0.98613,7.132e-05,7.132e-05,7.132e-05
85,1092.9,0.51437,0.39403,0.92053,0.93633,0.91957,0.95189,0.80515,0.67127,0.46592,0.98983,6.736e-05,6.736e-05,6.736e-05
86,1105.36,0.50601,0.39399,0.91988,0.94086,0.92352,0.96152,0.8108,0.67062,0.45122,0.99198,6.34e-05,6.34e-05,6.34e-05
87,1117.78,0.49024,0.38243,0.91613,0.95283,0.91296,0.9596,0.81149,0.66357,0.44301,0.98927,5.944e-05,5.944e-05,5.944e-05
88,1130.13,0.50559,0.37989,0.92023,0.95647,0.91132,0.95843,0.81151,0.66977,0.44315,0.99204,5.548e-05,5.548e-05,5.548e-05
89,1142.46,0.49874,0.38377,0.92274,0.95211,0.91504,0.95782,0.80429,0.67755,0.44924,0.99268,5.152e-05,5.152e-05,5.152e-05
90,1154.89,0.48973,0.38503,0.9124,0.94471,0.92196,0.95705,0.80952,0.66488,0.43948,0.9901,4.756e-05,4.756e-05,4.756e-05
91,1168.41,0.42055,0.2791,0.86931,0.94825,0.9127,0.95758,0.80795,0.66033,0.43974,0.98638,4.36e-05,4.36e-05,4.36e-05
92,1180.72,0.41492,0.26866,0.8579,0.9362,0.92599,0.95682,0.81038,0.66881,0.43553,0.99364,3.964e-05,3.964e-05,3.964e-05
93,1192.86,0.40848,0.26351,0.85791,0.92537,0.93838,0.95646,0.80814,0.66785,0.4474,0.9977,3.568e-05,3.568e-05,3.568e-05
94,1206.05,0.4071,0.26214,0.84947,0.93624,0.93242,0.95714,0.8079,0.66949,0.44297,0.99522,3.172e-05,3.172e-05,3.172e-05
95,1218.32,0.40089,0.25954,0.8491,0.93566,0.92735,0.95649,0.80409,0.66901,0.45655,0.99342,2.776e-05,2.776e-05,2.776e-05
96,1230.68,0.39567,0.25812,0.85025,0.9444,0.92244,0.95939,0.80929,0.66899,0.44794,0.99426,2.38e-05,2.38e-05,2.38e-05
97,1243.04,0.39499,0.25688,0.8485,0.94566,0.91541,0.95727,0.80817,0.66788,0.44867,0.9937,1.984e-05,1.984e-05,1.984e-05
98,1255.35,0.39309,0.25287,0.84344,0.93122,0.92538,0.95582,0.80831,0.66917,0.45504,0.99433,1.588e-05,1.588e-05,1.588e-05
99,1267.55,0.38309,0.24655,0.83653,0.94024,0.91204,0.95422,0.80827,0.66523,0.45148,0.9942,1.192e-05,1.192e-05,1.192e-05
100,1279.77,0.38753,0.25696,0.85127,0.94995,0.90275,0.95377,0.808,0.66425,0.45086,0.99277,7.96e-06,7.96e-06,7.96e-06
