time,voltage_out1,voltage_out2,speed_kph
345.977,1.5,0.75,51.81611832
346.013,1.5,0.75,51.78720402
346.039,1.5,0.75,51.85077324
346.099,1.5,0.75,51.78720402
346.138,1.5,0.75,51.78720402
346.172,1.5,0.75,51.85077324
346.2,1.5,0.75,51.75246462
346.238,1.5,0.75,51.88538208
346.283,1.5,0.75,51.81611832
346.318,1.5,0.75,51.78720402
346.395,1.5,0.75,51.81611832
346.433,1.5,0.75,51.94871194
346.476,1.5,0.75,51.94871194
346.521,1.5,0.75,51.91418758
346.563,1.5,0.75,51.85077324
346.607,1.5,0.75,51.81611832
346.645,1.5,0.75,51.85077324
346.69,1.5,0.75,51.88538208
346.736,1.5,0.75,51.94871194
346.779,1.5,0.75,51.94871194
346.817,1.5,0.75,51.94871194
346.854,1.5,0.75,51.94871194
346.894,1.5,0.75,51.94871194
346.933,1.5,0.75,51.94871194
346.97,1.5,0.75,51.88538208
347.019,1.5,0.75,51.91418758
347.063,1.5,0.75,51.94871194
347.106,1.5,0.75,51.91418758
347.146,1.5,0.75,51.98319022
347.221,1.5,0.75,52.01188692000001
347.269,1.5,0.75,52.074907020000005
347.306,1.5,0.75,52.01188692000001
347.346,1.5,0.75,52.046280720000006
347.385,1.5,0.75,51.94871194
347.426,1.5,0.75,52.046280720000006
347.465,1.5,0.75,51.91418758
347.502,1.5,0.75,52.074907020000005
347.543,1.5,0.75,52.046280720000006
347.583,1.5,0.75,52.143479580000005
347.618,1.5,0.75,52.20617584000001
347.657,1.5,0.75,52.074907020000005
347.694,1.5,0.75,52.074907020000005
347.737,1.5,0.75,52.074907020000005
347.776,1.5,0.75,52.074907020000005
347.819,1.5,0.75,52.10921634
347.855,1.5,0.75,52.074907020000005
347.884,1.5,0.75,52.074907020000005
347.924,1.5,0.75,52.01188692000001
347.966,1.5,0.75,52.17199708000001
348.008,1.5,0.75,52.074907020000005
348.046,1.5,0.75,52.143479580000005
348.106,1.5,0.75,52.268717220000006
348.145,1.5,0.75,52.17199708000001
348.183,1.5,0.75,52.268717220000006
