time,voltage_out1,voltage_out2,speed_kph,acceleration
12.604,1.1,0.55,3.5826541200000004,1.312169009418468
12.64,1.1,0.55,3.64526442,1.329876215574719
12.661,1.1,0.55,3.64526442,1.460427809763221
12.702,1.1,0.55,3.72035454,1.3829201720316597
12.746,1.1,0.55,3.79539858,1.4803785988961344
12.79,1.1,0.55,3.93285964,1.7486148955804226
12.829,1.1,0.55,3.93285964,1.535851674525712
12.864,1.1,0.55,4.00777312,1.207936619243155
12.899,1.1,0.55,4.07016582,1.0693961702037456
12.922,1.1,0.55,4.07016582,1.1045437434698642
12.959,1.1,0.55,4.144994819999999,1.2582571891189331
12.982,1.1,0.55,4.144994819999999,1.4771692951598951
13.021,1.1,0.55,4.28206164,1.490035892891227
13.059,1.1,0.55,4.356760079999999,1.5287244028520077
13.097,1.1,0.55,4.418973580000001,1.6457682138832213
13.137,1.1,0.55,4.418973580000001,1.281391104497888
13.176,1.1,0.55,4.49358754,1.0566106570463447
13.216,1.1,0.55,4.56815542,1.2455560564401793
13.254,1.1,0.55,4.56815542,1.2587147987316372
13.297,1.1,0.55,4.630260120000001,1.0397512962469406
13.333,1.1,0.55,4.704743519999999,1.0295221543441002
13.369,1.1,0.55,4.704743519999999,1.107812650970051
13.407,1.1,0.55,4.76677782,0.9091750118422042
13.449,1.1,0.55,4.76677782,0.7022766785088705
13.486,1.1,0.55,4.84117674,0.8675427560665995
13.51,1.1,0.55,4.84117674,1.0242973100753674
13.544,1.1,0.55,4.84117674,0.8104926819535819
13.57,1.1,0.55,4.915529580000001,0.6522672428751747
13.605,1.1,0.55,4.915529580000001,0.7932633722012085
13.646,1.1,0.55,4.915529580000001,0.6032748555272789
13.671,1.1,0.55,4.915529580000001,0.2751097357290391
13.707,1.1,0.55,4.97745508,0.27510973572903763
13.73,1.1,0.55,4.97745508,0.2751097357290348
13.765,1.1,0.55,4.97745508,0.55318272239045
13.788,1.1,0.55,4.97745508,0.8336452882362451
13.824,1.1,0.55,4.97745508,0.8336452882362437
13.846,1.1,0.55,5.05172344,1.0103650025219593
13.881,1.1,0.55,5.05172344,0.7890811863728772
13.906,1.1,0.55,5.05172344,0.13694693995064283
13.941,1.1,0.55,5.125945720000001,-0.10470994197556678
13.964,1.1,0.55,5.05172344,-0.1047099419755682
14.0,1.1,0.55,5.125945720000001,0.04294583099508884
14.026,1.1,0.55,5.125945720000001,0.6055226768198139
14.061,1.1,0.55,5.125945720000001,1.0553650002370674
14.084,1.1,0.55,5.18776242,1.1017566622954391
14.124,1.1,0.55,5.18776242,1.1017566622954404
14.16,1.1,0.55,5.261900220000001,0.9261226384536982
14.201,1.1,0.55,5.261900220000001,0.731665322192687
14.241,1.1,0.55,5.261900220000001,0.6846752826493742
14.282,1.1,0.55,5.3236465200000005,0.8269120703380992
14.321,1.1,0.55,5.3236465200000005,1.1660239203380995
14.363,1.1,0.55,5.39769984,1.3561831069234684
14.403,1.1,0.55,5.47170708,1.3941542935088294
14.443,1.1,0.55,5.53334458,1.4090588400696675
14.483,1.1,0.55,5.60726734,1.2322027999999734
14.523,1.1,0.55,5.60726734,1.0528538841122725
14.563,1.1,0.55,5.68114402,0.8756632789840694
14.603,1.1,0.55,5.68114402,0.6908563789840769
14.642,1.1,0.55,5.74267272,0.7077289827815519
14.683,1.1,0.55,5.74267272,0.7269367827815557
14.724,1.1,0.55,5.74267272,0.7305957290111366
14.762,1.1,0.55,5.81646492,0.7284658204587174
14.804,1.1,0.55,5.81646492,0.9060213037468827
14.843,1.1,0.55,5.87792322,0.8774050308231438
14.883,1.1,0.55,5.87792322,0.6735055308231523
14.924,1.1,0.55,5.951630940000001,0.703681550481275
14.962,1.1,0.55,5.951630940000001,0.8835914178204348
15.003,1.1,0.55,5.951630940000001,0.8574716677088758
15.042,1.1,0.55,6.02529258,0.6845236368351465
15.083,1.1,0.55,6.086642080000001,0.6845236368351408
15.125,1.1,0.55,6.086642080000001,0.6843016060659067
15.164,1.1,0.55,6.086642080000001,0.538187471638139
15.205,1.1,0.55,6.086642080000001,0.38675173846153255
15.244,1.1,0.55,6.16021924,0.5800065000000018
15.285,1.1,0.55,6.16021924,0.773261261538471
15.326,1.1,0.55,6.16021924,0.579885392307699
15.365,1.1,0.55,6.23375032,0.5415014181386454
15.406,1.1,0.55,6.23375032,0.6964933132003666
15.447,1.1,0.55,6.23375032,0.5032385516618973
15.487,1.1,0.55,6.294991019999999,0.48231912819074696
15.528,1.1,0.55,6.294991019999999,0.6592455961221078
15.566,1.1,0.55,6.294991019999999,0.5042537010603922
15.607,1.1,0.55,6.36843762,0.4931506356028052
15.647,1.1,0.55,6.36843762,0.6421812668320428
15.688,1.1,0.55,6.36843762,0.4698459287647239
15.73,1.1,0.55,6.4296079200000005,0.29291946083336884
15.774,1.1,0.55,6.4296079200000005,0.4696424237963299
15.814,1.1,0.55,6.4296079200000005,0.5024765571551597
15.854,1.1,0.55,6.4296079200000005,0.35344592592592505
15.895,1.1,0.55,6.502970040000001,0.3534459259259279
15.935,1.1,0.55,6.502970040000001,0.3534459259259279
15.974,1.1,0.55,6.502970040000001,0.35554257271906237
16.012,1.1,0.55,6.502970040000001,0.15058493453144878
16.053,1.1,0.55,6.502970040000001,0.13129123979461782
16.094,1.1,0.55,6.576286080000001,0.47081103343305986
16.132,1.1,0.55,6.502970040000001,0.6312931808689684
16.172,1.1,0.55,6.576286080000001,0.45247357111287273
16.211,1.1,0.55,6.63734758,0.4807082463375224
16.252,1.1,0.55,6.63734758,0.5000019410743534
16.293,1.1,0.55,6.63734758,0.4980920511647611
16.33,1.1,0.55,6.63734758,0.6752198074576853
16.364,1.1,0.55,6.63734758,0.675219807457691
16.389,1.1,0.55,6.71057914,0.6752198074576995
16.423,1.1,0.55,6.71057914,0.6752198074576995
16.447,1.1,0.55,6.71057914,0.33760990372884975
16.483,1.1,0.55,6.71057914,0.36592740000007495
16.506,1.1,0.55,6.71057914,0.7471017750001365
16.542,1.1,0.55,6.71057914,0.2900495970140852
16.566,1.1,0.55,6.78376462,0.02354784911479868
16.606,1.1,0.55,6.78376462,0.2059642997628302
16.627,1.1,0.55,6.71057914,-0.33421424309437525
16.661,1.1,0.55,6.78376462,-0.5237123609516061
16.686,1.1,0.55,6.78376462,0.29513244415306017
