Time,Voltage_Out1,Voltage_Out2,Speed_KPH
18.243,1.3,0.65,16.173825340000004
18.28,1.3,0.65,16.419137220000003
18.319,1.3,0.65,16.296558720000004
18.341,1.3,0.65,16.419137220000003
18.379,1.3,0.65,16.419137220000003
18.414,1.3,0.65,16.36343892
18.44,1.3,0.65,16.36343892
18.484,1.3,0.65,16.48593294
18.524,1.3,0.65,16.552682580000003
18.564,1.3,0.65,16.552682580000003
18.606,1.3,0.65,16.674937240000002
18.653,1.3,0.65,16.674937240000002
18.68,1.3,0.65,16.74155632
18.717,1.3,0.65,16.74155632
18.755,1.3,0.65,16.918981920000004
18.801,1.3,0.65,16.863571620000002
18.844,1.3,0.65,16.863571620000002
18.885,1.3,0.65,16.918981920000004
18.926,1.3,0.65,16.98543204
18.953,1.3,0.65,17.05183608
18.988,1.3,0.65,17.05183608
19.013,1.3,0.65,17.05183608
19.047,1.3,0.65,17.10713758
19.068,1.3,0.65,17.10713758
19.106,1.3,0.65,17.05183608
19.148,1.3,0.65,17.173457140000004
19.189,1.3,0.65,17.10713758
19.231,1.3,0.65,17.23973062
19.268,1.3,0.65,17.10713758
19.307,1.3,0.65,17.173457140000004
19.331,1.3,0.65,17.23973062
19.365,1.3,0.65,17.294923320000002
19.387,1.3,0.65,17.23973062
19.423,1.3,0.65,17.294923320000002
19.446,1.3,0.65,17.294923320000002
19.479,1.3,0.65,17.294923320000002
19.517,1.3,0.65,17.416234620000004
19.556,1.3,0.65,17.36111232
19.594,1.3,0.65,17.548397580000003
19.634,1.3,0.65,17.48233914
19.672,1.3,0.65,17.548397580000003
19.713,1.3,0.65,17.48233914
19.751,1.3,0.65,17.48233914
19.791,1.3,0.65,17.66938504
19.829,1.3,0.65,17.66938504
19.871,1.3,0.65,17.60341108
19.909,1.3,0.65,17.66938504
19.948,1.3,0.65,17.790217620000004
19.987,1.3,0.65,17.91089532
20.028,1.3,0.65,17.856061020000002
20.052,1.3,0.65,17.91089532
20.087,1.3,0.65,17.976654240000002
20.113,1.3,0.65,17.976654240000002
20.148,1.3,0.65,18.04236708
20.171,1.3,0.65,18.09709258
20.208,1.3,0.65,18.04236708
20.23,1.3,0.65,18.04236708
20.269,1.3,0.65,18.09709258
20.295,1.3,0.65,18.162720940000003
20.331,1.3,0.65,18.09709258
20.354,1.3,0.65,18.09709258
20.392,1.3,0.65,18.09709258
20.413,1.3,0.65,18.09709258
20.448,1.3,0.65,18.162720940000003
20.474,1.3,0.65,18.09709258
20.508,1.3,0.65,18.09709258
20.53,1.3,0.65,18.162720940000003
20.565,1.3,0.65,18.162720940000003
20.59,1.3,0.65,18.09709258
20.626,1.3,0.65,18.22830322
20.669,1.3,0.65,18.22830322
20.712,1.3,0.65,18.40296402
20.753,1.3,0.65,18.28291992
20.793,1.3,0.65,18.28291992
20.83,1.3,0.65,18.46837734
20.87,1.3,0.65,18.40296402
20.907,1.3,0.65,18.40296402
20.944,1.3,0.65,18.40296402
20.966,1.3,0.65,18.46837734
21.001,1.3,0.65,18.53374458
21.026,1.3,0.65,18.46837734
21.06,1.3,0.65,18.53374458
21.085,1.3,0.65,18.46837734
21.125,1.3,0.65,18.65346484
21.167,1.3,0.65,18.65346484
21.209,1.3,0.65,18.58818208
21.248,1.3,0.65,18.58818208
21.291,1.3,0.65,18.58818208
21.333,1.3,0.65,18.83818242
21.371,1.3,0.65,18.773030220000003
21.395,1.3,0.65,18.773030220000003
21.432,1.3,0.65,18.892440720000003
21.455,1.3,0.65,18.83818242
21.49,1.3,0.65,18.83818242
21.516,1.3,0.65,18.95750844
21.551,1.3,0.65,18.95750844
21.575,1.3,0.65,19.022530080000003
21.616,1.3,0.65,19.07667958
21.66,1.3,0.65,19.022530080000003
21.704,1.3,0.65,18.95750844
21.743,1.3,0.65,19.022530080000003
21.785,1.3,0.65,19.07667958
21.823,1.3,0.65,19.07667958
21.865,1.3,0.65,19.07667958
21.907,1.3,0.65,19.07667958
21.94,1.3,0.65,19.26054852
21.975,1.3,0.65,19.20650782
21.998,1.3,0.65,19.141616740000003
22.035,1.3,0.65,19.20650782
22.057,1.3,0.65,19.26054852
22.094,1.3,0.65,19.26054852
22.118,1.3,0.65,19.325355120000005
22.156,1.3,0.65,19.325355120000005
22.178,1.3,0.65,19.325355120000005
22.217,1.3,0.65,19.37932542
22.238,1.3,0.65,19.37932542
22.274,1.3,0.65,19.37932542
22.295,1.3,0.65,19.37932542
22.331,1.3,0.65,19.325355120000005
22.367,1.3,0.65,19.325355120000005
22.406,1.3,0.65,19.325355120000005
22.448,1.3,0.65,19.37932542
22.489,1.3,0.65,19.37932542
22.532,1.3,0.65,19.325355120000005
22.57,1.3,0.65,19.37932542
22.61,1.3,0.65,19.44404754
22.652,1.3,0.65,19.56258508
22.673,1.3,0.65,19.56258508
22.696,1.3,0.65,19.50872358
22.731,1.3,0.65,19.44404754
22.753,1.3,0.65,19.62717664
22.776,1.3,0.65,19.69172212
22.81,1.3,0.65,19.69172212
22.831,1.3,0.65,19.69172212
22.854,1.3,0.65,19.69172212
22.89,1.3,0.65,19.69172212
22.913,1.3,0.65,19.62717664
22.934,1.3,0.65,19.809935820000003
22.969,1.3,0.65,19.86361812
22.993,1.3,0.65,19.74547482
23.014,1.3,0.65,19.74547482
23.05,1.3,0.65,19.69172212
23.071,1.3,0.65,19.69172212
23.092,1.3,0.65,19.69172212
23.128,1.3,0.65,19.69172212
23.153,1.3,0.65,19.86361812
23.195,1.3,0.65,19.74547482
23.237,1.3,0.65,19.809935820000003
23.277,1.3,0.65,19.809935820000003
23.318,1.3,0.65,19.86361812
23.355,1.3,0.65,19.74547482
23.394,1.3,0.65,19.74547482
23.419,1.3,0.65,19.809935820000003
23.459,1.3,0.65,19.809935820000003
23.499,1.3,0.65,19.99232508
23.522,1.3,0.65,19.99232508
23.566,1.3,0.65,20.11014454
23.587,1.3,0.65,20.174344420000004
23.625,1.3,0.65,20.11014454
23.647,1.3,0.65,20.11014454
23.686,1.3,0.65,20.174344420000004
23.725,1.3,0.65,20.227809120000003
23.766,1.3,0.65,20.174344420000004
23.805,1.3,0.65,20.174344420000004
23.839,1.3,0.65,20.174344420000004
23.862,1.3,0.65,20.227809120000003
23.896,1.3,0.65,20.345318820000003
23.921,1.3,0.65,20.29192452
23.956,1.3,0.65,20.227809120000003
23.98,1.3,0.65,20.29192452
24.014,1.3,0.65,20.345318820000003
24.037,1.3,0.65,20.29192452
24.07,1.3,0.65,20.345318820000003
24.092,1.3,0.65,20.47333458
24.125,1.3,0.65,20.409349740000003
24.146,1.3,0.65,20.409349740000003
24.17,1.3,0.65,20.52662008
24.205,1.3,0.65,20.409349740000003
24.23,1.3,0.65,20.47333458
24.265,1.3,0.65,20.59052044
24.29,1.3,0.65,20.52662008
24.313,1.3,0.65,20.47333458
