Time (ms),Distance (mm),Brake Position (%)
43214.0,71.0,69.35
43321.0,67.0,75.81
43428.0,70.0,70.97
43535.0,68.0,74.19
43642.0,69.0,72.58
43749.0,68.0,74.19
43856.0,68.0,74.19
43963.0,67.0,75.81
44070.0,65.0,79.03
44177.0,63.0,82.26
44284.0,67.0,75.81
44391.0,66.0,77.42
44498.0,66.0,77.42
44605.0,70.0,70.97
44712.0,67.0,75.81
44819.0,64.0,80.65
44926.0,70.0,70.97
45033.0,63.0,82.26
45140.0,67.0,75.81
45247.0,66.0,77.42
45354.0,68.0,74.19
45461.0,69.0,72.58
45568.0,67.0,75.81
45675.0,67.0,75.81
45782.0,68.0,74.19
45889.0,64.0,80.65
45996.0,64.0,80.65
46103.0,67.0,75.81
46210.0,66.0,77.42
46317.0,66.0,77.42
46424.0,64.0,80.65
46531.0,65.0,79.03
46638.0,65.0,79.03
46745.0,66.0,77.42
46852.0,63.0,82.26
46959.0,66.0,77.42
47066.0,68.0,74.19
47173.0,69.0,72.58
47280.0,70.0,70.97
47387.0,66.0,77.42
47494.0,69.0,72.58
47601.0,68.0,74.19
47708.0,67.0,75.81
47815.0,68.0,74.19
47922.0,71.0,69.35
48029.0,68.0,74.19
48136.0,69.0,72.58
48243.0,67.0,75.81
48350.0,66.0,77.42
48457.0,64.0,80.65
48564.0,65.0,79.03
48671.0,64.0,80.65
48778.0,63.0,82.26
48885.0,67.0,75.81
48992.0,66.0,77.42
49099.0,69.0,72.58
49206.0,67.0,75.81
49313.0,67.0,75.81
49420.0,66.0,77.42
49527.0,67.0,75.81
49634.0,67.0,75.81
49741.0,67.0,75.81
49848.0,65.0,79.03
49955.0,66.0,77.42
50062.0,68.0,74.19
50169.0,66.0,77.42
50276.0,70.0,70.97
50383.0,66.0,77.42
50490.0,66.0,77.42
50597.0,67.0,75.81
50704.0,69.0,72.58
50811.0,64.0,80.65
50918.0,67.0,75.81
51025.0,67.0,75.81
51132.0,64.0,80.65
51239.0,67.0,75.81
51346.0,67.0,75.81
51453.0,66.0,77.42
51560.0,65.0,79.03
51667.0,66.0,77.42
51774.0,66.0,77.42
51881.0,65.0,79.03
51988.0,66.0,77.42
52095.0,67.0,75.81
52202.0,68.0,74.19
52309.0,67.0,75.81
52416.0,66.0,77.42
52523.0,64.0,80.65
52630.0,66.0,77.42
52737.0,66.0,77.42
52844.0,67.0,75.81
52951.0,67.0,75.81
53058.0,66.0,77.42
53165.0,68.0,74.19
53272.0,69.0,72.58
53379.0,65.0,79.03
53486.0,70.0,70.97
53593.0,67.0,75.81
53700.0,64.0,80.65
53807.0,67.0,75.81
53914.0,64.0,80.65
54021.0,66.0,77.42
54128.0,64.0,80.65
54235.0,63.0,82.26
54342.0,64.0,80.65
54449.0,66.0,77.42
54556.0,68.0,74.19
54663.0,64.0,80.65
54770.0,64.0,80.65
54877.0,67.0,75.81
54984.0,67.0,75.81
55091.0,65.0,79.03
55198.0,64.0,80.65
55305.0,68.0,74.19
55412.0,65.0,79.03
55519.0,66.0,77.42
55626.0,62.0,83.87
55733.0,64.0,80.65
55840.0,64.0,80.65
55947.0,68.0,74.19
56054.0,67.0,75.81
56161.0,65.0,79.03
56268.0,67.0,75.81
56375.0,65.0,79.03
56482.0,64.0,80.65
56589.0,65.0,79.03
56696.0,68.0,74.19
56803.0,72.0,67.74
56910.0,66.0,77.42
57017.0,62.0,83.87
57124.0,66.0,77.42
57231.0,67.0,75.81
57338.0,66.0,77.42
57445.0,66.0,77.42
57552.0,62.0,83.87
57659.0,67.0,75.81
57766.0,64.0,80.65
57873.0,68.0,74.19
57980.0,65.0,79.03
58087.0,69.0,72.58
58194.0,65.0,79.03
58301.0,69.0,72.58
58408.0,67.0,75.81
58515.0,67.0,75.81
58622.0,66.0,77.42
58729.0,67.0,75.81
58836.0,68.0,74.19
58943.0,62.0,83.87
59050.0,65.0,79.03
59157.0,70.0,70.97
59264.0,67.0,75.81
59371.0,67.0,75.81
59478.0,67.0,75.81
59585.0,65.0,79.03
59692.0,67.0,75.81
59799.0,65.0,79.03
59906.0,64.0,80.65
60013.0,65.0,79.03
60120.0,69.0,72.58
60227.0,66.0,77.42
60334.0,68.0,74.19
60441.0,67.0,75.81
60548.0,66.0,77.42
60655.0,72.0,67.74
60762.0,67.0,75.81
60869.0,70.0,70.97
