Time (ms),Distance (mm),Brake Position (%)
16906.0,66.35,76.86
17013.0,66.3,76.94
17120.0,66.29,76.95
17227.0,66.33,76.88
17334.0,66.34,76.87
17441.0,66.32,76.9
17548.0,66.29,76.95
17655.0,66.29,76.96
17762.0,66.25,77.01
17869.0,66.23,77.04
17976.0,66.23,77.05
18083.0,66.29,76.96
18190.0,66.28,76.97
18297.0,66.31,76.93
18404.0,66.32,76.91
18511.0,66.33,76.89
18618.0,66.35,76.85
18725.0,66.35,76.86
18832.0,66.33,76.89
18939.0,66.37,76.83
19046.0,66.39,76.79
19153.0,66.37,76.82
19260.0,66.44,76.71
19367.0,66.43,76.72
19474.0,66.44,76.71
19581.0,66.49,76.63
19688.0,66.5,76.61
19795.0,66.51,76.6
19902.0,66.5,76.61
20009.0,66.52,76.58
20116.0,66.53,76.57
20223.0,66.51,76.6
20330.0,66.54,76.54
20437.0,66.55,76.53
20544.0,66.53,76.57
20651.0,66.49,76.63
20758.0,66.51,76.59
20865.0,66.46,76.68
20972.0,66.47,76.66
21079.0,66.45,76.7
21186.0,66.45,76.69
21293.0,66.42,76.74
21400.0,66.4,76.78
21507.0,66.38,76.81
21614.0,66.39,76.8
21721.0,66.38,76.81
21828.0,66.4,76.77
21935.0,66.41,76.75
22042.0,66.42,76.74
22149.0,66.43,76.73
22256.0,66.44,76.71
22363.0,66.43,76.72
22470.0,66.41,76.76
22577.0,66.33,76.89
22684.0,66.33,76.89
22791.0,66.34,76.88
22898.0,66.33,76.89
23005.0,66.36,76.85
23112.0,66.41,76.76
23219.0,66.36,76.84
23326.0,66.44,76.71
23433.0,66.5,76.62
23540.0,66.59,76.47
23647.0,66.61,76.43
23754.0,66.6,76.45
23861.0,66.64,76.39
23968.0,66.61,76.43
24075.0,66.66,76.35
24182.0,66.71,76.27
24289.0,66.67,76.33
24396.0,66.68,76.33
24503.0,66.7,76.29
24610.0,66.69,76.31
24717.0,66.74,76.23
24824.0,66.73,76.25
24931.0,66.7,76.29
25038.0,66.7,76.28
25145.0,66.75,76.2
25252.0,66.8,76.13
25359.0,66.79,76.15
25466.0,66.78,76.16
25573.0,66.78,76.16
25680.0,66.75,76.2
25787.0,66.76,76.2
25894.0,66.76,76.19
26001.0,66.69,76.3
26108.0,66.65,76.37
26215.0,66.66,76.36
26322.0,66.68,76.33
26429.0,66.71,76.27
26536.0,66.7,76.29
26643.0,66.71,76.28
26750.0,66.68,76.32
26857.0,66.7,76.29
26964.0,66.72,76.26
27071.0,66.69,76.3
27178.0,66.68,76.32
27285.0,66.72,76.26
27392.0,66.72,76.26
27499.0,66.73,76.25
27606.0,66.71,76.27
27713.0,66.69,76.31
27820.0,66.66,76.35
27927.0,66.64,76.39
28034.0,66.65,76.38
28141.0,66.64,76.39
28248.0,66.64,76.39
28355.0,66.65,76.38
28462.0,66.59,76.46
28569.0,66.54,76.55
28676.0,66.52,76.59
28783.0,66.55,76.53
28890.0,66.6,76.44
28997.0,66.6,76.46
29104.0,66.59,76.47
29211.0,66.59,76.46
29318.0,66.61,76.43
29425.0,66.59,76.47
29532.0,66.58,76.48
29639.0,66.59,76.47
29746.0,66.58,76.49
29853.0,66.58,76.48
29960.0,66.61,76.44
30067.0,66.64,76.39
30174.0,66.65,76.38
30281.0,66.62,76.42
30388.0,66.6,76.45
30495.0,66.56,76.52
30602.0,66.51,76.6
30709.0,66.5,76.61
30816.0,66.51,76.6
30923.0,66.57,76.49
31030.0,66.54,76.56
31137.0,66.53,76.57
31244.0,66.49,76.63
31351.0,66.51,76.59
31458.0,66.52,76.58
31565.0,66.51,76.59
31672.0,66.55,76.53
31779.0,66.48,76.64
31886.0,66.49,76.63
31993.0,66.56,76.52
32100.0,66.5,76.61
32207.0,66.5,76.62
32314.0,66.47,76.66
32421.0,66.51,76.6
32528.0,66.5,76.61
32635.0,66.48,76.64
32742.0,66.47,76.65
32849.0,66.47,76.67
32956.0,66.49,76.63
33063.0,66.48,76.64
33170.0,66.5,76.61
33277.0,66.53,76.57
33384.0,66.55,76.53
33491.0,66.53,76.57
33598.0,66.55,76.54
33705.0,66.57,76.5
33812.0,66.63,76.4
33919.0,66.67,76.34
34026.0,66.64,76.38
34133.0,66.61,76.44
34240.0,66.6,76.46
34347.0,66.59,76.47
34454.0,66.51,76.6
34561.0,66.51,76.59
34668.0,66.55,76.53
34775.0,66.51,76.59
34882.0,66.49,76.63
34989.0,66.47,76.67
35096.0,66.46,76.68
35203.0,66.45,76.69
35310.0,66.4,76.77
35417.0,66.38,76.8
35524.0,66.38,76.81
35631.0,66.34,76.87
35738.0,66.4,76.78
35845.0,66.42,76.74
35952.0,66.44,76.71
36059.0,66.48,76.64
36166.0,66.49,76.63
36273.0,66.51,76.6
36380.0,66.52,76.58
36487.0,66.57,76.5
36594.0,66.55,76.54
36701.0,66.55,76.53
36808.0,66.56,76.52
36915.0,66.6,76.46
37022.0,66.57,76.5
37129.0,66.53,76.56
37236.0,66.54,76.55
37343.0,66.58,76.49
37450.0,66.6,76.46
37557.0,66.57,76.49
37664.0,66.6,76.46
37771.0,66.6,76.45
37878.0,66.56,76.51
37985.0,66.58,76.48
38092.0,66.6,76.44
38199.0,66.63,76.41
38306.0,66.59,76.47
38413.0,66.61,76.44
38520.0,66.61,76.43
38627.0,66.59,76.47
38734.0,66.63,76.41
38841.0,66.66,76.35
38948.0,66.64,76.39
