Time (ms),Distance (mm),Brake Position (%)
48043.0,67.14,75.57
48150.0,67.08,75.68
48257.0,67.05,75.73
48364.0,67.02,75.78
48471.0,67.08,75.68
48578.0,67.05,75.73
48685.0,67.13,75.59
48792.0,67.07,75.69
48899.0,67.13,75.6
49006.0,67.12,75.61
49113.0,67.15,75.57
49220.0,67.14,75.58
49327.0,67.26,75.39
49434.0,67.22,75.45
49541.0,67.21,75.46
49648.0,67.32,75.29
49755.0,67.23,75.44
49862.0,67.19,75.5
49969.0,67.19,75.51
50076.0,67.21,75.47
50183.0,67.29,75.34
50290.0,67.22,75.45
50397.0,67.28,75.36
50504.0,67.27,75.38
50611.0,67.23,75.44
50718.0,67.37,75.21
50825.0,67.39,75.18
50932.0,67.46,75.06
51039.0,67.42,75.13
51146.0,67.44,75.1
51253.0,67.43,75.12
51360.0,67.41,75.14
51467.0,67.37,75.21
51574.0,67.39,75.18
51681.0,67.35,75.24
51788.0,67.25,75.4
51895.0,67.24,75.41
52002.0,67.35,75.24
52109.0,67.31,75.3
52216.0,67.36,75.22
52323.0,67.35,75.24
52430.0,67.43,75.11
52537.0,67.39,75.18
52644.0,67.35,75.25
52751.0,67.4,75.17
52858.0,67.5,75.0
52965.0,67.54,74.93
53072.0,67.56,74.91
53179.0,67.54,74.93
53286.0,67.58,74.86
53393.0,67.48,75.03
53500.0,67.47,75.06
53607.0,67.45,75.08
53714.0,67.41,75.15
53821.0,67.34,75.26
53928.0,67.45,75.09
54035.0,67.49,75.01
54142.0,67.51,74.99
54249.0,67.58,74.87
54356.0,67.65,74.76
54463.0,67.6,74.84
54570.0,67.61,74.82
54677.0,67.57,74.89
54784.0,67.64,74.78
54891.0,67.56,74.9
54998.0,67.51,74.98
55105.0,67.44,75.09
55212.0,67.43,75.12
55319.0,67.39,75.18
55426.0,67.29,75.34
55533.0,67.31,75.31
55640.0,67.24,75.42
55747.0,67.15,75.57
55854.0,67.17,75.53
55961.0,67.25,75.4
56068.0,67.31,75.31
56175.0,67.24,75.42
56282.0,67.14,75.57
56389.0,67.11,75.63
56496.0,67.05,75.73
56603.0,66.99,75.82
56710.0,67.02,75.78
56817.0,66.93,75.92
56924.0,66.9,75.96
57031.0,66.82,76.1
57138.0,66.8,76.14
57245.0,66.83,76.08
57352.0,66.86,76.02
57459.0,66.87,76.02
57566.0,66.81,76.11
57673.0,66.76,76.19
57780.0,66.65,76.37
57887.0,66.6,76.45
57994.0,66.56,76.52
58101.0,66.51,76.59
58208.0,66.41,76.76
58315.0,66.43,76.73
58422.0,66.44,76.7
58529.0,66.4,76.77
58636.0,66.42,76.74
